accession	MGE
NC028862	phage
NC028863	phage
NC028864	phage
NC028865	phage
NC028869	phage
NC028870	phage
NC028871	phage
NC028872	phage
NC028874	phage
NC028876	phage
NC028877	phage
NC028878	phage
NC028879	phage
NC028880	phage
NC028881	phage
NC028882	phage
NC028883	phage
NC028885	phage
NC028886	phage
NC028887	phage
NC028888	phage
NC028889	phage
NC028890	phage
NC028892	phage
NC028894	phage
NC028895	phage
NC028896	phage
NC028897	phage
NC028898	phage
NC028899	phage
NC028900	phage
NC028901	phage
NC028902	phage
NC028903	phage
NC028904	phage
NC028905	phage
NC028906	phage
NC028907	phage
NC028908	phage
NC028910	phage
NC028911	phage
NC028912	phage
NC028913	phage
NC028914	phage
NC028915	phage
NC028916	phage
NC028917	phage
NC028919	phage
NC028920	phage
NC028922	phage
NC028923	phage
NC028924	phage
NC028925	phage
NC028926	phage
NC028927	phage
NC028928	phage
NC028929	phage
NC028930	phage
NC028931	phage
NC028932	phage
NC028933	phage
NC028934	phage
NC028935	phage
NC028936	phage
NC028937	phage
NC028939	phage
NC028940	phage
NC028941	phage
NC028942	phage
NC028943	phage
NC028944	phage
NC028945	phage
NC028946	phage
NC028947	phage
NC028950	phage
NC028951	phage
NC028952	phage
NC028953	phage
NC028954	phage
NC028955	phage
NC028956	phage
NC028957	phage
NC028958	phage
NC028959	phage
NC028960	phage
NC028961	phage
NC028962	phage
NC028965	phage
NC028966	phage
NC028967	phage
NC028968	phage
NC028969	phage
NC028971	phage
NC028972	phage
NC028974	phage
NC028976	phage
NC028977	phage
NC028978	phage
NC028979	phage
NC028980	phage
NC028982	phage
NC028983	phage
NC028984	phage
NC028986	phage
NC028987	phage
NC028988	phage
NC028990	phage
NC028991	phage
NC028993	phage
NC028994	phage
NC028995	phage
NC028996	phage
NC028997	phage
NC028998	phage
NC028999	phage
NC029000	phage
NC029001	phage
NC029002	phage
NC029003	phage
NC029004	phage
NC029005	phage
NC029006	phage
NC029007	phage
NC029008	phage
NC029009	phage
NC029010	phage
NC029012	phage
NC029013	phage
NC029014	phage
NC029015	phage
NC029016	phage
NC029017	phage
NC029018	phage
NC029019	phage
NC029021	phage
NC029022	phage
NC029023	phage
NC029024	phage
NC029025	phage
NC029026	phage
NC029028	phage
NC029029	phage
NC029030	phage
NC029031	phage
NC029032	phage
NC029033	phage
NC029042	phage
NC029043	phage
NC029044	phage
NC029045	phage
NC029046	phage
NC029047	phage
NC029048	phage
NC029050	phage
NC029057	phage
NC029058	phage
NC029059	phage
NC029060	phage
NC029061	phage
NC029065	phage
NC029066	phage
NC029067	phage
NC029068	phage
NC029070	phage
NC029071	phage
NC029072	phage
NC029073	phage
NC029074	phage
NC029075	phage
NC029077	phage
NC029078	phage
NC029079	phage
NC029080	phage
NC029081	phage
NC029083	phage
NC029084	phage
NC029091	phage
NC029092	phage
NC029093	phage
NC029094	phage
NC029097	phage
NC029098	phage
NC029099	phage
NC029100	phage
NC029101	phage
NC029102	phage
NC029104	phage
NC029106	phage
NC029107	phage
NC029116	phage
NC029118	phage
NC029119	phage
NC029120	phage
NC029121	phage
NC030458	phage
NC030472	phage
NC030476	phage
NC030652	phage
NC030694	phage
NC030695	phage
NC030696	phage
NC030698	phage
NC030901	phage
NC030902	phage
NC030903	phage
NC030904	phage
NC030905	phage
NC030906	phage
NC030907	phage
NC030908	phage
NC030909	phage
NC030910	phage
NC030911	phage
NC030912	phage
NC030913	phage
NC030914	phage
NC030915	phage
NC030916	phage
NC030917	phage
NC030918	phage
NC030919	phage
NC030920	phage
NC030921	phage
NC030923	phage
NC030924	phage
NC030925	phage
NC030927	phage
NC030928	phage
NC030929	phage
NC030930	phage
NC030931	phage
NC030932	phage
NC030933	phage
NC030934	phage
NC030935	phage
NC030936	phage
NC030937	phage
NC030939	phage
NC030940	phage
NC030941	phage
NC030942	phage
NC030943	phage
NC030944	phage
NC030945	phage
NC030946	phage
NC030947	phage
NC030948	phage
NC030949	phage
NC030950	phage
NC030951	phage
NC030953	phage
NC031001	phage
NC031002	phage
NC031003	phage
NC031004	phage
NC031005	phage
NC031006	phage
NC031007	phage
NC031008	phage
NC031009	phage
NC031010	phage
NC031011	phage
NC031012	phage
NC031013	phage
NC031014	phage
NC031015	phage
NC031016	phage
NC031017	phage
NC031018	phage
NC031019	phage
NC031020	phage
NC031021	phage
NC031022	phage
NC031023	phage
NC031024	phage
NC031025	phage
NC031026	phage
NC031027	phage
NC031028	phage
NC031029	phage
NC031030	phage
NC031031	phage
NC031032	phage
NC031034	phage
NC031035	phage
NC031036	phage
NC031037	phage
NC031039	phage
NC031040	phage
NC031041	phage
NC031042	phage
NC031043	phage
NC031044	phage
NC031045	phage
NC031046	phage
NC031047	phage
NC031048	phage
NC031049	phage
NC031050	phage
NC031051	phage
NC031052	phage
NC031053	phage
NC031054	phage
NC031055	phage
NC031056	phage
NC031057	phage
NC031058	phage
NC031059	phage
NC031060	phage
NC031061	phage
NC031062	phage
NC031063	phage
NC031064	phage
NC031065	phage
NC031066	phage
NC031067	phage
NC031068	phage
NC031069	phage
NC031070	phage
NC031071	phage
NC031072	phage
NC031073	phage
NC031074	phage
NC031075	phage
NC031076	phage
NC031077	phage
NC031078	phage
NC031080	phage
NC031081	phage
NC031082	phage
NC031084	phage
NC031085	phage
NC031086	phage
NC031087	phage
NC031090	phage
NC031091	phage
NC031092	phage
NC031094	phage
NC031095	phage
NC031096	phage
NC031097	phage
NC031098	phage
NC031099	phage
NC031100	phage
NC031101	phage
NC031102	phage
NC031103	phage
NC031104	phage
NC031107	phage
NC031108	phage
NC031109	phage
NC031110	phage
NC031111	phage
NC031112	phage
NC031113	phage
NC031114	phage
NC031115	phage
NC031116	phage
NC031117	phage
NC031118	phage
NC031119	phage
NC031120	phage
NC031121	phage
NC031122	phage
NC031123	phage
NC031124	phage
NC031125	phage
NC031126	phage
NC031127	phage
NC031128	phage
NC031129	phage
NC031224	phage
NC031226	phage
NC031228	phage
NC031229	phage
NC031230	phage
NC031231	phage
NC031233	phage
NC031234	phage
NC031235	phage
NC031237	phage
NC031238	phage
NC031239	phage
NC031241	phage
NC031242	phage
NC031243	phage
NC031245	phage
NC031246	phage
NC031247	phage
NC031249	phage
NC031250	phage
NC031251	phage
NC031252	phage
NC031253	phage
NC031254	phage
NC031255	phage
NC031256	phage
NC031257	phage
NC031258	phage
NC031260	phage
NC031261	phage
NC031262	phage
NC031263	phage
NC031264	phage
NC031265	phage
NC031266	phage
NC031267	phage
NC031269	phage
NC031271	phage
NC031274	phage
NC031277	phage
NC031279	phage
NC031280	phage
NC031281	phage
NC031900	phage
NC031901	phage
NC031902	phage
NC031903	phage
NC031904	phage
NC031905	phage
NC031906	phage
NC031907	phage
NC031908	phage
NC031909	phage
NC031910	phage
NC031911	phage
NC031912	phage
NC031913	phage
NC031914	phage
NC031915	phage
NC031917	phage
NC031918	phage
NC031919	phage
NC031920	phage
NC031921	phage
NC031922	phage
NC031923	phage
NC031924	phage
NC031925	phage
NC031926	phage
NC031927	phage
NC031928	phage
NC031929	phage
NC031930	phage
NC031931	phage
NC031932	phage
NC031933	phage
NC031934	phage
NC031935	phage
NC031936	phage
NC031937	phage
NC031938	phage
NC031939	phage
NC031940	phage
NC031941	phage
NC031942	phage
NC031943	phage
NC031944	phage
NC031945	phage
NC031946	phage
NC034248	phage
NC040328	phage
NC040329	phage
NC040341	phage
NC040342	phage
NC040349	phage
NC040350	phage
NC040373	phage
NC040374	phage
NC040375	phage
NC041844	phage
NC041845	phage
NC041846	phage
NC041847	phage
NC041849	phage
NC041850	phage
NC041851	phage
NC041852	phage
NC041853	phage
NC041854	phage
NC041855	phage
NC041856	phage
NC041857	phage
NC041858	phage
NC041859	phage
NC041860	phage
NC041862	phage
NC041863	phage
NC041864	phage
NC041865	phage
NC041866	phage
NC041867	phage
NC041868	phage
NC041869	phage
NC041870	phage
NC041871	phage
NC041872	phage
NC041873	phage
NC041874	phage
NC041875	phage
NC041876	phage
NC041877	phage
NC041878	phage
NC041879	phage
NC041880	phage
NC041881	phage
NC041882	phage
NC041883	phage
NC041884	phage
NC041885	phage
NC041886	phage
NC041887	phage
NC041888	phage
NC041889	phage
NC041890	phage
NC041891	phage
NC041892	phage
NC041893	phage
NC041894	phage
NC041895	phage
NC041896	phage
NC041897	phage
NC041898	phage
NC041899	phage
NC041900	phage
NC041901	phage
NC041902	phage
NC041903	phage
NC041904	phage
NC041905	phage
NC041906	phage
NC041907	phage
NC041908	phage
NC041909	phage
NC041910	phage
NC041911	phage
NC041912	phage
NC041913	phage
NC041914	phage
NC041915	phage
NC041916	phage
NC041917	phage
NC041918	phage
NC041921	phage
NC041922	phage
NC041923	phage
NC041924	phage
NC041925	phage
NC041926	phage
NC041927	phage
NC041928	phage
NC041929	phage
NC041930	phage
NC041931	phage
NC041932	phage
NC041933	phage
NC041934	phage
NC041935	phage
NC041936	phage
NC041937	phage
NC041938	phage
NC041939	phage
NC041940	phage
NC041941	phage
NC041942	phage
NC041943	phage
NC041944	phage
NC041945	phage
NC041946	phage
NC041947	phage
NC041948	phage
NC041949	phage
NC041950	phage
NC041951	phage
NC041952	phage
NC041953	phage
NC041954	phage
NC041955	phage
NC041956	phage
NC041957	phage
NC041958	phage
NC041959	phage
NC041960	phage
NC041961	phage
NC041962	phage
NC041963	phage
NC041964	phage
NC041965	phage
NC041966	phage
NC041967	phage
NC041968	phage
NC041969	phage
NC041970	phage
NC041971	phage
NC041972	phage
NC041973	phage
NC041974	phage
NC041975	phage
NC041976	phage
NC041977	phage
NC041978	phage
NC041979	phage
NC041980	phage
NC041981	phage
NC041982	phage
NC041983	phage
NC041984	phage
NC041985	phage
NC041986	phage
NC041987	phage
NC041988	phage
NC041989	phage
NC041990	phage
NC041991	phage
NC041992	phage
NC041993	phage
NC041994	phage
NC041995	phage
NC041996	phage
NC041997	phage
NC041998	phage
NC041999	phage
NC042000	phage
NC042001	phage
NC042002	phage
NC042003	phage
NC042004	phage
NC042005	phage
NC042006	phage
NC042007	phage
NC042008	phage
NC042009	phage
NC042010	phage
NC042011	phage
NC042012	phage
NC042013	phage
NC042014	phage
NC042015	phage
NC042016	phage
NC042017	phage
NC042018	phage
NC042019	phage
NC042020	phage
NC042021	phage
NC042022	phage
NC042023	phage
NC042024	phage
NC042025	phage
NC042027	phage
NC042028	phage
NC042029	phage
NC042030	phage
NC042031	phage
NC042032	phage
NC042033	phage
NC042034	phage
NC042035	phage
NC042036	phage
NC042037	phage
NC042039	phage
NC042040	phage
NC042041	phage
NC042042	phage
NC042043	phage
NC042044	phage
NC042045	phage
NC042046	phage
NC042047	phage
NC042048	phage
NC042049	phage
NC042050	phage
NC042051	phage
NC042052	phage
NC042053	phage
NC042054	phage
NC042055	phage
NC042056	phage
NC042057	phage
NC042058	phage
NC042060	phage
NC042061	phage
NC042065	phage
NC042066	phage
NC042067	phage
NC042074	phage
NC042075	phage
NC042076	phage
NC042077	phage
NC042078	phage
NC042079	phage
NC042080	phage
NC042081	phage
NC042082	phage
NC042083	phage
NC042084	phage
NC042085	phage
NC042086	phage
NC042087	phage
NC042088	phage
NC042089	phage
NC042090	phage
NC042091	phage
NC042092	phage
NC042093	phage
NC042094	phage
NC042095	phage
NC042096	phage
NC042097	phage
NC042098	phage
NC042099	phage
NC042100	phage
NC042101	phage
NC042102	phage
NC042103	phage
NC042104	phage
NC042105	phage
NC042106	phage
NC042107	phage
NC042108	phage
NC042109	phage
NC042110	phage
NC042111	phage
NC042112	phage
NC042113	phage
NC042114	phage
NC042116	phage
NC042117	phage
NC042118	phage
NC042119	phage
NC042120	phage
NC042121	phage
NC042122	phage
NC042123	phage
NC042124	phage
NC042125	phage
NC042126	phage
NC042127	phage
NC042128	phage
NC042129	phage
NC042130	phage
NC042131	phage
NC042132	phage
NC042133	phage
NC042134	phage
NC042135	phage
NC042136	phage
NC042137	phage
NC042138	phage
NC042139	phage
NZ_CP014353	plasmid
NZ_CP015165	plasmid
NZ_CP021526	plasmid
NZ_CP021527	plasmid
NZ_CP030843	plasmid
NZ_CP030844	plasmid
NZ_CP030841	plasmid
NC_010606	plasmid
NC_010605	plasmid
NC_011585	plasmid
NC_010402	plasmid
NC_010401	plasmid
NC_010403	plasmid
NC_020525	plasmid
NC_017848	plasmid
NC_017163	plasmid
NC_017164	plasmid
NC_021727	plasmid
NC_021728	plasmid
NC_021731	plasmid
NC_021732	plasmid
NC_021730	plasmid
NC_019985	plasmid
NZ_CP008851	plasmid
NZ_CP008850	plasmid
NZ_CP007713	plasmid
NZ_CP007714	plasmid
NZ_CP010399	plasmid
NZ_CP010400	plasmid
NZ_CP010782	plasmid
NZ_CP015485	plasmid
NZ_CP015486	plasmid
NZ_CP008707	plasmid
NZ_CP008708	plasmid
NZ_CP008709	plasmid
NZ_CP012008	plasmid
NZ_CP012005	plasmid
NZ_CP012955	plasmid
NZ_CP012954	plasmid
NZ_CP012953	plasmid
NZ_LN865144	plasmid
NZ_CP013925	plasmid
NZ_LN997847	plasmid
NZ_CP014217	plasmid
NZ_CP015366	plasmid
NZ_CP015365	plasmid
NZ_CP017643	plasmid
NZ_CP017647	plasmid
NZ_CP017649	plasmid
NZ_CP017651	plasmid
NZ_CP017653	plasmid
NZ_CP017655	plasmid
NZ_CP018144	plasmid
NZ_CP018255	plasmid
NZ_CP018422	plasmid
NZ_CP018678	plasmid
NZ_CP018679	plasmid
NZ_CP016297	plasmid
NZ_CP016302	plasmid
NZ_CP014292	plasmid
NZ_CP014293	plasmid
NZ_CP020582	plasmid
NZ_CP020589	plasmid
NZ_CP020573	plasmid
NZ_CP020575	plasmid
NZ_CP020593	plasmid
NZ_CP020577	plasmid
NZ_CP020576	plasmid
NZ_CP020580	plasmid
NZ_CP015122	plasmid
NZ_CP021787	plasmid
NZ_CP021786	plasmid
NZ_CP021785	plasmid
NZ_CP021783	plasmid
NZ_CP021784	plasmid
NZ_CP018334	plasmid
NZ_CP024578	plasmid
NZ_CP024577	plasmid
NZ_CP035673	plasmid
NZ_CP035674	plasmid
NZ_CP035675	plasmid
NZ_CP025267	plasmid
NZ_CP026127	plasmid
NZ_CP026126	plasmid
NZ_CP026706	plasmid
NZ_CP026708	plasmid
NZ_CP026712	plasmid
NZ_CP026748	plasmid
NZ_CP027529	plasmid
NZ_CP027243	plasmid
NZ_CP027244	plasmid
NZ_CP027531	plasmid
NZ_CP027532	plasmid
NZ_CP027609	plasmid
NZ_CP027610	plasmid
NZ_CP027121	plasmid
NZ_CP027124	plasmid
NZ_CP029571	plasmid
NZ_CP029573	plasmid
NZ_CP029572	plasmid
NZ_CP021322	plasmid
NZ_CP019218	plasmid
NZ_CP030084	plasmid
NZ_CP030107	plasmid
NZ_CP030108	plasmid
NZ_CP026339	plasmid
NZ_CP026340	plasmid
NZ_CP022284	plasmid
NZ_CP027180	plasmid
NZ_CP027181	plasmid
NZ_CP023033	plasmid
NZ_CP023032	plasmid
NZ_CP023021	plasmid
NZ_CP023024	plasmid
NZ_CP023023	plasmid
NZ_CP023028	plasmid
NZ_CP023027	plasmid
NZ_CP023030	plasmid
NZ_CP023035	plasmid
NZ_CP027186	plasmid
NZ_CP027187	plasmid
NZ_CP033753	plasmid
NZ_CP033752	plasmid
NZ_CP033751	plasmid
NZ_CP033770	plasmid
NZ_CP033872	plasmid
NZ_CP033871	plasmid
NZ_CP033870	plasmid
NZ_CP034094	plasmid
NZ_CP034097	plasmid
NZ_CP034095	plasmid
NZ_CP034096	plasmid
NZ_CP031446	plasmid
NZ_CP038264	plasmid
NZ_CP038261	plasmid
NZ_CP038647	plasmid
NZ_CP038648	plasmid
NZ_CP038649	plasmid
NZ_CP038650	plasmid
NZ_CP038651	plasmid
NZ_CP038652	plasmid
NZ_LT594096	plasmid
NZ_CP005987	plasmid
NZ_CP005988	plasmid
NZ_CP005989	plasmid
NC_015854	plasmid
NC_015853	plasmid
NC_015852	plasmid
NZ_CP026330	plasmid
NZ_CP020001	plasmid
NZ_CP021368	plasmid
NZ_CP021369	plasmid
NZ_CP021364	plasmid
NC_009468	plasmid
NC_009469	plasmid
NC_009470	plasmid
NC_009471	plasmid
NC_009472	plasmid
NC_009473	plasmid
NC_009474	plasmid
NZ_CP029390	plasmid
NZ_CP029391	plasmid
NZ_CP029392	plasmid
NZ_CP029393	plasmid
NZ_CP029394	plasmid
NZ_CP029395	plasmid
NZ_CP018872	plasmid
NZ_CP018873	plasmid
NZ_CP038011	plasmid
NZ_LR215051	plasmid
NZ_CP010356	plasmid
NZ_CP010357	plasmid
NZ_CP010354	plasmid
NZ_CP010355	plasmid
NZ_CP010353	plasmid
NZ_CP010352	plasmid
NZ_CP022300	plasmid
NZ_CP022301	plasmid
NZ_CP022302	plasmid
NZ_CP037425	plasmid
NZ_CP028798	plasmid
NZ_CP028799	plasmid
NC_009928	plasmid
NC_009929	plasmid
NC_009931	plasmid
NC_009932	plasmid
NC_009933	plasmid
NC_009934	plasmid
NC_015178	plasmid
NC_015187	plasmid
NC_015179	plasmid
NC_015180	plasmid
NC_015181	plasmid
NC_015189	plasmid
NC_015182	plasmid
NZ_CP010903	plasmid
NZ_CP010370	plasmid
NZ_CP020587	plasmid
NZ_AP018516	plasmid
NC_013211	plasmid
NC_013212	plasmid
NC_013213	plasmid
NC_013214	plasmid
NC_013215	plasmid
NC_017118	plasmid
NC_017119	plasmid
NC_017142	plasmid
NC_017120	plasmid
NC_017109	plasmid
NC_017122	plasmid
NC_017110	plasmid
NC_017123	plasmid
NC_017144	plasmid
NC_017124	plasmid
NC_017126	plasmid
NC_017127	plasmid
NC_017145	plasmid
NC_017128	plasmid
NC_017129	plasmid
NC_017131	plasmid
NC_017147	plasmid
NC_017132	plasmid
NC_017148	plasmid
NC_017133	plasmid
NC_017149	plasmid
NC_017135	plasmid
NC_017102	plasmid
NC_017103	plasmid
NC_017112	plasmid
NC_017105	plasmid
NC_017151	plasmid
NC_017106	plasmid
NC_017107	plasmid
NC_017152	plasmid
NC_017113	plasmid
NC_017114	plasmid
NC_017115	plasmid
NC_017116	plasmid
NC_017137	plasmid
NZ_AP014883	plasmid
NZ_AP014884	plasmid
NZ_AP014885	plasmid
NC_021976	plasmid
NZ_HF677572	plasmid
NC_021992	plasmid
NC_021977	plasmid
NC_021993	plasmid
NC_021978	plasmid
NC_021979	plasmid
NZ_CP021510	plasmid
NZ_CP021923	plasmid
NZ_CP014688	plasmid
NZ_CP014478	plasmid
NZ_CP014479	plasmid
NZ_CP015146	plasmid
NZ_CP015148	plasmid
NZ_CP015147	plasmid
NZ_CP017939	plasmid
NZ_CP018910	plasmid
NZ_CP026088	plasmid
NZ_CP027248	plasmid
NZ_CP027253	plasmid
NZ_CP027252	plasmid
NZ_CP028570	plasmid
NZ_CP028571	plasmid
NZ_CP028572	plasmid
NC_010942	plasmid
NC_010941	plasmid
NC_010940	plasmid
NZ_CP022716	plasmid
NZ_CP023191	plasmid
NZ_CP015616	plasmid
NZ_CP015617	plasmid
NZ_CP015618	plasmid
NZ_CP015620	plasmid
NZ_CP015621	plasmid
NZ_LN606601	plasmid
NZ_CP016899	plasmid
NZ_CP016900	plasmid
NZ_CP016901	plasmid
NZ_CP016902	plasmid
NZ_CP016903	plasmid
NZ_CP015111	plasmid
NZ_CP015112	plasmid
NZ_CP026423	plasmid
NZ_CP026425	plasmid
NZ_CP026424	plasmid
NZ_CP026421	plasmid
NZ_CP026427	plasmid
NZ_CP026415	plasmid
NZ_CP026414	plasmid
NZ_CP026417	plasmid
NZ_CP026413	plasmid
NZ_CP024012	plasmid
NZ_CP014655	plasmid
NZ_CP014656	plasmid
NZ_CP021649	plasmid
NZ_CP021651	plasmid
NZ_CP032278	plasmid
NZ_CP032270	plasmid
NZ_CP032271	plasmid
NZ_CP032272	plasmid
NZ_CP032273	plasmid
NZ_CP032274	plasmid
NZ_CP032275	plasmid
NZ_CP032276	plasmid
NZ_CP032277	plasmid
NZ_CP032267	plasmid
NZ_CP032269	plasmid
NZ_CP028556	plasmid
NZ_CP028557	plasmid
NZ_CP028558	plasmid
NZ_CP028559	plasmid
NZ_CP032284	plasmid
NZ_CP032281	plasmid
NZ_CP032282	plasmid
NZ_CP032283	plasmid
NZ_CP032142	plasmid
NZ_CP032138	plasmid
NZ_CP032139	plasmid
NZ_CP032140	plasmid
NZ_CP032141	plasmid
NZ_CP032132	plasmid
NZ_CP032127	plasmid
NZ_CP032128	plasmid
NZ_CP032129	plasmid
NZ_CP032130	plasmid
NZ_CP032131	plasmid
NZ_CP027237	plasmid
NZ_CP030873	plasmid
NC_008765	plasmid
NC_008766	plasmid
NZ_CP033857	plasmid
NZ_CP033859	plasmid
NZ_CP033860	plasmid
NZ_CP033867	plasmid
NZ_AP018826	plasmid
NZ_CP031709	plasmid
NZ_CP031710	plasmid
NZ_CP031712	plasmid
NZ_CP031711	plasmid
NZ_CP031713	plasmid
NZ_CP031714	plasmid
NZ_CP031715	plasmid
NZ_CP033119	plasmid
NZ_CP033122	plasmid
NZ_CP033123	plasmid
NZ_CP033124	plasmid
NZ_CP033125	plasmid
NZ_CP033126	plasmid
NZ_CP033132	plasmid
NZ_CP033127	plasmid
NZ_CP033128	plasmid
NZ_CP033129	plasmid
NZ_CP033118	plasmid
NZ_CP033120	plasmid
NZ_CP033121	plasmid
NC_014642	plasmid
NC_014641	plasmid
NZ_CP014059	plasmid
NZ_CP014066	plasmid
NC_017965	plasmid
NZ_CP003916	plasmid
NZ_AP019198	plasmid
NZ_CP010950	plasmid
NZ_CP010949	plasmid
NZ_CP010948	plasmid
NZ_CP013179	plasmid
NZ_CP013180	plasmid
NZ_CP013181	plasmid
NZ_CP013967	plasmid
NZ_CP013968	plasmid
NZ_CP013969	plasmid
NZ_CP028562	plasmid
NZ_CP028563	plasmid
NZ_CP028564	plasmid
NZ_CP007568	plasmid
NC_009349	plasmid
NC_009350	plasmid
NC_004924	plasmid
NC_004923	plasmid
NC_004925	plasmid
NZ_CP021658	plasmid
NZ_CP021657	plasmid
NZ_CP021656	plasmid
NZ_CP021655	plasmid
NZ_CP022172	plasmid
NZ_CP022173	plasmid
NZ_CP022174	plasmid
NZ_CP022183	plasmid
NZ_CP022184	plasmid
NZ_CP022185	plasmid
NZ_CP022178	plasmid
NZ_CP022179	plasmid
NZ_CP022180	plasmid
NZ_CP017145	plasmid
NZ_CP026408	plasmid
NZ_CP026409	plasmid
NZ_CP026410	plasmid
NZ_CP026411	plasmid
NZ_CP026223	plasmid
NZ_CP026220	plasmid
NZ_CP026218	plasmid
NZ_CP032840	plasmid
NZ_CP028134	plasmid
NC_003064	plasmid
NC_003065	plasmid
NZ_CP033024	plasmid
NZ_CP033026	plasmid
NZ_CP033025	plasmid
NZ_CP033036	plasmid
NZ_CP033037	plasmid
NZ_CP033038	plasmid
NC_011990	plasmid
NC_011994	plasmid
NZ_CP021745	plasmid
NZ_CP021747	plasmid
NZ_CP036360	plasmid
NC_015184	plasmid
NZ_CP026927	plasmid
NZ_CP032924	plasmid
NZ_CP032925	plasmid
NZ_CP032928	plasmid
NZ_CP032929	plasmid
NC_011981	plasmid
NC_011982	plasmid
NC_011984	plasmid
NC_011991	plasmid
NC_011986	plasmid
NZ_CP027861	plasmid
NC_013206	plasmid
NC_013207	plasmid
NC_013208	plasmid
NZ_CP011453	plasmid
NC_014911	plasmid
NC_015423	plasmid
NZ_CP013143	plasmid
NC_006842	plasmid
NZ_CP010428	plasmid
NZ_CP012203	plasmid
NZ_CP018322	plasmid
NC_019394	plasmid
NC_021718	plasmid
NZ_CP013929	plasmid
NZ_CP018030	plasmid
NC_011311	plasmid
NC_011314	plasmid
NC_011315	plasmid
NC_011316	plasmid
NZ_CP034238	plasmid
NZ_CP034239	plasmid
NZ_LR136959	plasmid
NZ_CP013927	plasmid
NC_013852	plasmid
NC_013862	plasmid
NZ_LN554850	plasmid
NZ_LN554851	plasmid
NZ_CP015006	plasmid
NZ_CP015008	plasmid
NC_013386	plasmid
NC_023497	plasmid
NZ_CP028969	plasmid
NZ_CP028970	plasmid
NZ_CP028971	plasmid
NZ_CP028972	plasmid
NZ_CP028967	plasmid
NZ_CP028973	plasmid
NZ_CP026266	plasmid
NZ_CP026268	plasmid
NZ_CP015440	plasmid
NC_019772	plasmid
NC_019773	plasmid
NC_019774	plasmid
NC_019775	plasmid
NC_020056	plasmid
NZ_CP021839	plasmid
NZ_CP022542	plasmid
NZ_CP022543	plasmid
NC_013164	plasmid
NZ_CP011457	plasmid
NZ_LT703008	plasmid
NZ_LT703010	plasmid
NC_019428	plasmid
NC_019429	plasmid
NC_019440	plasmid
NC_001880	plasmid
NZ_CP029211	plasmid
NZ_CP022516	plasmid
NZ_CP013201	plasmid
NC_006823	plasmid
NZ_CP032824	plasmid
NZ_CP018865	plasmid
NZ_CP018864	plasmid
NZ_CP031220	plasmid
NZ_CP038621	plasmid
NZ_CP038622	plasmid
NZ_CP038624	plasmid
NZ_CP038628	plasmid
NZ_CP038630	plasmid
NZ_CP038629	plasmid
NC_013742	plasmid
NC_018532	plasmid
NC_009453	plasmid
NZ_CP013298	plasmid
NZ_CP012478	plasmid
NZ_CP017422	plasmid
NZ_CP017423	plasmid
NZ_CP017424	plasmid
NZ_CP017425	plasmid
NZ_CP017426	plasmid
NZ_CP029643	plasmid
NC_008537	plasmid
NC_008538	plasmid
NC_008539	plasmid
NC_017193	plasmid
NC_014818	plasmid
NC_014819	plasmid
NC_007719	plasmid
NC_007720	plasmid
NC_007718	plasmid
NC_007717	plasmid
NZ_CP031448	plasmid
NZ_CP006368	plasmid
NZ_CP006369	plasmid
NZ_CP006370	plasmid
NZ_CP006373	plasmid
NZ_CP006374	plasmid
NZ_CP006375	plasmid
NZ_CP007795	plasmid
NZ_CP007797	plasmid
NZ_CP012916	plasmid
NZ_CP012917	plasmid
NZ_CP010420	plasmid
NZ_CP010419	plasmid
NZ_CP010418	plasmid
NZ_CP010417	plasmid
NZ_CP010416	plasmid
NZ_CP011838	plasmid
NC_016586	plasmid
NC_016623	plasmid
NC_016587	plasmid
NC_016624	plasmid
NC_016588	plasmid
NC_013857	plasmid
NC_013858	plasmid
NC_013859	plasmid
NZ_CP029355	plasmid
NZ_CP029356	plasmid
NZ_CP029357	plasmid
NZ_CP029358	plasmid
NZ_CP022366	plasmid
NZ_CP022369	plasmid
NZ_CP022368	plasmid
NZ_CP029831	plasmid
NZ_CP029834	plasmid
NZ_CP029836	plasmid
NC_020548	plasmid
NZ_CP012408	plasmid
NZ_CP009109	plasmid
NZ_CP022320	plasmid
NC_017189	plasmid
NC_020273	plasmid
NZ_CP013728	plasmid
NZ_CP014701	plasmid
NZ_CP021506	plasmid
NC_007322	plasmid
NC_007323	plasmid
NC_012579	plasmid
NC_012577	plasmid
NC_012656	plasmid
NC_012655	plasmid
NC_017726	plasmid
NC_017727	plasmid
NZ_CP001975	plasmid
NZ_CP001972	plasmid
NZ_AP018444	plasmid
NZ_AP018445	plasmid
NZ_CP006744	plasmid
NZ_CP008848	plasmid
NZ_CP007617	plasmid
NZ_CP007664	plasmid
NZ_CP009324	plasmid
NZ_CP009327	plasmid
NZ_CP009326	plasmid
NZ_CP009330	plasmid
NZ_CP009329	plasmid
NZ_CP009340	plasmid
NZ_CP009339	plasmid
NZ_CP009463	plasmid
NZ_CP009462	plasmid
NZ_CP009475	plasmid
NZ_CP009540	plasmid
NZ_CP009543	plasmid
NZ_CP009699	plasmid
NZ_CP009698	plasmid
NZ_CP009695	plasmid
NZ_CP009597	plasmid
NZ_CP009900	plasmid
NZ_CP009979	plasmid
NZ_CP010320	plasmid
NZ_CP009316	plasmid
NZ_CP009314	plasmid
NZ_CP010854	plasmid
NZ_CP014178	plasmid
NZ_CP015778	plasmid
NZ_CP018905	plasmid
NZ_CP022045	plasmid
