MGE,ARG,ARO Accession,Genome,Predicted_gene_name,Predicted_host,Associated_drug_class,MajorClass
P-P,APH(3')-Ia,ARO:3002641,NZ_MN922301.1,CAE51638.1,Serratia marcescens ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-IIa,ARO:3002644,NZ_CP032067.1,CAA23892.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-IIa,ARO:3002644,NZ_CP033632.1,CAA23892.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-VI,ARO:3003687,NZ_CP021962.1,AGI04227.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(3')-VIa,ARO:3002652,NZ_CP021962.1,CAA30578.1,Acinetobacter baumannii ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_CP010146.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_CP019054.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_CP033251.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_CP055258.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_MG196293.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(4)-Ia,ARO:3002655,NZ_MN510447.1,CAA24743.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP034786.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP042894.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP052281.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP052311.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP052352.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,CP052393.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP010243.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP019054.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP019262.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP029493.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP029688.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP032890.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP033379.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP033632.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP034590.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP034789.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP040928.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP040928.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP043218.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP047005.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP048027.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP050045.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP055258.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP056516.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP056516.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP063477.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP063488.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP063502.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP071075.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP072806.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_CP077204.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_LR130553.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_LT985263.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_MG196293.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_MG825383.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_MG825383.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_MK439959.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,APH(6)-Id,ARO:3002660,NZ_MN086777.1,AAC23556.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,armA ,ARO:3000858,CP052393.1,ADC55560.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,armA ,ARO:3000858,CP052423.1,ADC55560.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,arr-2,ARO:3002847,NZ_CP045677.1,AAC64366.1,Pseudomonas aeruginosa ,rifamycin antibiotic,rifamycin
P-P,arr-2,ARO:3002847,NZ_CP053046.1,AAC64366.1,Pseudomonas aeruginosa ,rifamycin antibiotic,rifamycin
P-P,arr-2,ARO:3002847,NZ_CP079728.1,AAC64366.1,Pseudomonas aeruginosa ,rifamycin antibiotic,rifamycin
P-P,arr-2,ARO:3002847,NZ_MH763829.1,AAC64366.1,Pseudomonas aeruginosa ,rifamycin antibiotic,rifamycin
P-P,arr-2,ARO:3002847,NZ_MK439959.1,AAC64366.1,Pseudomonas aeruginosa ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_CP034755.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_CP066814.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_CP068233.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_MG196293.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_MG196293.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,arr-3,ARO:3002848,NZ_MN961666.1,ACD56151.1,Escherichia coli ,rifamycin antibiotic,rifamycin
P-P,blt ,ARO:3003006,NZ_CP035192.1,AAC36944.1,Bacillus subtilis subsp. subtilis str. 168,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic,multidrug
P-P,BRP(MBL) ,ARO:3001205,NZ_CP021962.1,AGH88989.1,Acinetobacter baumannii ,glycopeptide antibiotic,glycopeptide
P-P,BRP(MBL) ,ARO:3001205,NZ_CP074117.1,AGH88989.1,Acinetobacter baumannii ,glycopeptide antibiotic,glycopeptide
P-P,CARB-3,ARO:3002242,NZ_CP016381.1,AAB19430.2,Pseudomonas aeruginosa ,penam,beta-lactam
P-P,catB11,ARO:3004660,NZ_CP016381.1,AID93387.1,Klebsiella oxytoca KONIH1,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,CP052281.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,CP052311.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,CP052352.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,CP052393.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,CP052423.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,NZ_CP016381.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,NZ_CP034755.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,NZ_CP037929.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,NZ_MG196293.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB3,ARO:3002676,NZ_MN922301.1,AFQ93498.1,Enterobacter cloacae ,phenicol antibiotic,phenicol
P-P,catB8,ARO:3002680,NZ_CP077204.1,AAM92461.1,Salmonella enterica subsp. enterica serovar Typhi ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,CP042894.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,NC_021654.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,NZ_CP007729.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,NZ_CP023686.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,NZ_CP037929.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,catI ,ARO:3002683,NZ_MN922301.1,CAA23899.1,Escherichia coli ,phenicol antibiotic,phenicol
P-P,cmlA1,ARO:3002693,CP042617.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA1,ARO:3002693,NZ_CP010154.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA1,ARO:3002693,NZ_CP029493.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA1,ARO:3002693,NZ_CP059289.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA1,ARO:3002693,NZ_CP063488.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA1,ARO:3002693,NZ_MN510447.1,AAA26057.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cmlA5,ARO:3002695,NZ_CP053046.1,AAM77075.1,uncultured bacterium ,phenicol antibiotic,multidrug
P-P,cmlA5,ARO:3002695,NZ_MH763829.1,AAM77075.1,uncultured bacterium ,phenicol antibiotic,multidrug
P-P,cmlA5,ARO:3002695,NZ_MK439959.1,AAM77075.1,uncultured bacterium ,phenicol antibiotic,multidrug
P-P,cmlA6,ARO:3002696,NZ_CP016381.1,AAK52606.1,Pseudomonas aeruginosa ,phenicol antibiotic,multidrug
P-P,cpxA ,ARO:3000830,NZ_CP019203.1,BAB38260.1,Escherichia coli O157:H7 str. Sakai,aminocoumarin antibiotic;aminoglycoside antibiotic,multidrug
P-P,cpxA ,ARO:3000830,NZ_CP022659.1,BAB38260.1,Escherichia coli O157:H7 str. Sakai,aminocoumarin antibiotic;aminoglycoside antibiotic,multidrug
P-P,cpxA ,ARO:3000830,NZ_CP051374.1,BAB38260.1,Escherichia coli O157:H7 str. Sakai,aminocoumarin antibiotic;aminoglycoside antibiotic,multidrug
P-P,CTX-M-14,ARO:3001877,NC_016838.1,AAF72530.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-14,ARO:3001877,NZ_CP033251.1,AAF72530.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-14,ARO:3001877,NZ_CP063350.1,AAF72530.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-142,ARO:3002000,NZ_KY515224.1,AGW25368.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP052281.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP052311.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP052352.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP052393.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP052423.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP056447.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,CP056801.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NC_023916.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_CP021203.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_CP045278.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_CP050364.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_CP075059.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_KP453775.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_KU980950.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_LR890608.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_MK125034.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_MK125035.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_MW590712.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-15,ARO:3001878,NZ_MW646302.1,AAL02127.1,Escherichia coli ,cephalosporin;penam,beta-lactam
P-P,CTX-M-199,ARO:3005622,NZ_MT773674.1,WP_087587947.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-27,ARO:3001889,NZ_CP031191.1,AAO61597.1,Escherichia coli ,carbapenem;cephalosporin;penam,beta-lactam
P-P,CTX-M-27,ARO:3001889,NZ_CP064673.1,AAO61597.1,Escherichia coli ,carbapenem;cephalosporin;penam,beta-lactam
P-P,CTX-M-27,ARO:3001889,NZ_CP064676.1,AAO61597.1,Escherichia coli ,carbapenem;cephalosporin;penam,beta-lactam
P-P,CTX-M-27,ARO:3001889,NZ_MF133442.1,AAO61597.1,Escherichia coli ,carbapenem;cephalosporin;penam,beta-lactam
P-P,CTX-M-28,ARO:3001890,NZ_KY515225.1,CAD70280.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-3,ARO:3001866,CP060164.1,CAA71321.1,Citrobacter freundii ,cephalosporin;cephamycin;penam,beta-lactam
P-P,CTX-M-3,ARO:3001866,NZ_KX015668.1,CAA71321.1,Citrobacter freundii ,cephalosporin;cephamycin;penam,beta-lactam
P-P,CTX-M-55,ARO:3001917,NZ_CP041922.1,ABI34705.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-55,ARO:3001917,NZ_CP044294.1,ABI34705.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-55,ARO:3001917,NZ_CP047004.1,ABI34705.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-55,ARO:3001917,NZ_MK419152.1,ABI34705.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-64,ARO:3001925,NZ_MT773672.1,BAF63422.1,Shigella sonnei ,cephalosporin,beta-lactam
P-P,CTX-M-64,ARO:3001925,NZ_MT773673.1,BAF63422.1,Shigella sonnei ,cephalosporin,beta-lactam
P-P,CTX-M-65,ARO:3001926,NZ_CP010146.1,ABN69105.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-65,ARO:3001926,NZ_CP033632.1,ABN69105.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-65,ARO:3001926,NZ_CP061960.1,ABN69105.1,Escherichia coli ,cephalosporin,beta-lactam
P-P,CTX-M-9,ARO:3001872,NZ_LT985263.1,AAF05311.2,Escherichia coli ,cephalosporin,beta-lactam
P-P,dfr22,ARO:3005354,NZ_CP066814.1,CAF31623.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfr22,ARO:3005354,NZ_CP068233.1,CAF31623.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_CP019262.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_CP029181.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_CP033632.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_CP034789.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_CP063951.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA1,ARO:3002854,NZ_MG825383.1,AAP74961.2,Klebsiella oxytoca ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,CP042617.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,CP042894.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,CP057733.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,CP057740.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,CP057753.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NC_021654.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP007729.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP010154.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP019054.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP021842.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP021846.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP027613.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP029244.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP029493.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP029688.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP030285.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP032239.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP037929.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP040928.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP050364.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP055258.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP059289.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_CP074117.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_MN510447.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA12,ARO:3002858,NZ_MN922301.1,ADG84870.1,Klebsiella pneumoniae ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,CP052393.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP010243.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP033379.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP034590.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP037929.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP050364.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP050364.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP053046.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP063469.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP063477.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP063502.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_CP071075.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_LR130553.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_MH763829.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_MK439959.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA14,ARO:3002859,NZ_MN922301.1,AHK10285.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA15,ARO:3003013,NZ_AP019819.1,AHB39758.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA15,ARO:3003013,NZ_CP021897.1,AHB39758.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA15,ARO:3003013,NZ_CP063488.1,AHB39758.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA15,ARO:3003013,NZ_CP068592.1,AHB39758.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA16,ARO:3003014,NZ_LT985263.1,AAK60186.1,Escherichia coli ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,CP034786.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_AP023428.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_CP010146.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_CP021203.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_CP033251.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_CP048823.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
P-P,dfrA17,ARO:3002860,NZ_MN086777.1,ABG91835.1,Pseudomonas aeruginosa ,diaminopyrimidine antibiotic,diaminopyrimidine
